Date : 2024-01-14 12:24:51
Directory : c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System
Total : 423 files,  17805 codes, 6785 comments, 3337 blanks, all 27927 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\deploy.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\dept.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\dev.svg                                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\develop.svg                                                           | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\dictionary.svg                                                        | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\doc.svg                                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\download.svg                                                          | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\edit.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\education.svg                                                         | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\email.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\error.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\exit-fullscreen.svg                                                   | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\fullscreen.svg                                                        | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\fwb.svg                                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\github.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\gonggao.svg                                                           | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\icon.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\image.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\index.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\international.svg                                                     | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\ipvisits.svg                                                          | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\java.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\link.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\list.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\lock.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\log.svg                                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\login.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\markdown.svg                                                          | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\menu.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\message.svg                                                           | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\mnt.svg                                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\money.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\monitor.svg                                                           | XML             |          1 |          0 |          1 |          2 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\nested.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\password.svg                                                          | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\people.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\peoples.svg                                                           | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\permission.svg                                                        | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\phone.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\qiniu.svg                                                             | XML             |          1 |          0 |          0 |          1 |
